,序号,类型,节目名,表演者
3,4,歌曲,《万里长城永不倒》,吕念祖
4,5,,中国女子排球队队员给老教练、老队员、家属及服务人员拜年,
5,6,歌曲,《共享快乐年》《在我生命里》《中国梦》,罗文
6,7,,《中奖节目》,黄阿原
7,8,歌曲,《新春我们干一杯》《祖国慈祥的母亲》,张建一
8,9,粤剧,《花市》《花城之春》,红线女
9,10,高空杂技,《悠绳》,王景愚、张小卉
10,11,歌曲,《赤子之心》,周峰
11,12,相声,《大乐、特乐》,马三立
12,13,越剧,《五女拜寿》《南海渔歌》,何赛飞、茅威涛
13,14,歌曲,《一杯美酒》《我的歌会飞到你的身边》,迪里拜尔（维吾尔族）
14,15,,《中奖节目》——投篮球（中插广告）,黄阿原
15,16,歌曲,《谁知我心》,吕念祖、李志秀
16,17,歌曲,《龙的传人》《倩影》,黄锦波[注 1]
17,18,喜剧小品,《拍电影》,陈佩斯、朱时茂
18,19,歌曲,《小草》《欢腾的小路》,房新华
19,20,,零点钟声,
20,21,录像,《恭贺新年》,
21,22,豫剧,《老牛接班》,虎美玲、小香玉、王全真
22,23,舞蹈,《长袖舞》,湖北省歌舞团
23,24,男女声二重唱,《十五的月亮》《生命之花》,董文华、柳培德
24,25,硬气功表演,二指拉石、手指钻砖,李登来
25,26,歌曲,《故乡情》,奚秀兰
26,27,歌曲,《登上高峰》,张明敏
27,28,,武术表演,郝勇、张小燕、赵长军、王建军、王群、李燕龙、邱建国
28,29,歌曲,《长城脚下一朵小花》《年景》（根据《万水千山总是情]》曲调填词）,董岱
29,30,相声,《看电视》,姜昆、李金宝
30,31,京剧,《打渔杀家》,李慧芳（反串老生）（此前网上流传的节目单上的孙岳是误传）、王馥荔
31,32,歌曲,《问候你，朋友》 《长城长江万里长》（此前网上流传的节目单写的是《万里长城万里长》）《家乡》,汪明荃
32,33,歌曲,《友情》《默默地祝福你》《天黑黑》,黄植诚、李大维、黄阿原
33,34,,游戏节目（中插广告）,黄阿原
34,35,舞蹈,《迎来新时光》,总政歌舞团
35,36,结束曲/片尾曲,《难忘今宵》（最后一曲）,
,序号,类型,节目名,表演者
0,1,歌曲大联唱,①《拜年歌》②《请到天涯海角来》③《在那桃花盛开的地方》④《天仙配》⑤《回娘家》⑥《阿里山的姑娘》⑦《我的祖国》⑧《我们的生活充满阳光》⑨《我的中国心》⑩《刘海砍樵》⑪《今日痛饮庆功酒》,蒋大为、彭丽媛成方圆蒋大为郑绪岚、牟玄甫李维康郁钧剑彭丽媛董文华笑林刘晓庆、姜昆耿其昌、刘斌
1,2,相声,《虎年谈虎》,刘伟、冯巩
2,3,小魔术,,冯京、金云、陈佩斯、朱时茂
3,4,京剧清唱,《红灯记》选段《穷人的孩子早当家》、《都有一颗红亮的心》,刘斌、李维康
4,5,录像,海豚表演,
5,6,谜语,“气球”（猜晚会上一演员的名字）,
6,7,歌曲,《祖国啊我永远热爱你》,殷秀梅
7,8,歌曲,《追求》,成方圆
8,9,民歌,《过新年》,郁钧剑
9,10,歌曲,《我多想》,成方圆
10,11,小品,《送礼》,李婉芬、周国治
11,12,小提琴独奏,《波兰舞曲》,郭昶
12,13,相声,《怪声独唱》,笑林、李国盛
13,14,舞蹈,《鼓舞》,夏丽蓉
14,15,婚礼,,杨晟、于民刚
15,16,谜语,“红双喜”（打一四字成语）,
16,17,歌曲,《军港之夜》、《我要回到家乡去》,苏小明
17,18,歌曲,《望星空》,董文华
18,19,歌曲,《化蝶》、《哦，明天》,郑绪岚、牟玄甫
19,20,川剧、豫剧、越剧会串,《断桥》,陶长进、小香玉、方亚芬
20,21,谐剧,《零点七》,沈伐
21,22,舞蹈,《双回门》（录像）,谭金凤、梅万明等
22,23,相声,《戏迷》,侯耀文、石富宽
23,24,魔术,《空中悬人》,余剑等
24,25,山东快书,《吹牛》,郭秋林
25,26,谜语,“四化在心上”（打一字）,
26,27,歌曲,《太阳出来喜洋洋》,刘晓庆
27,28,歌曲,《燕子》、《阿拉木罕》,江桦
28,29,歌曲,《春光美》、《祝福歌》,张德兰
29,30,相声,《照相》,姜昆、唐杰忠
30,31,东北民歌,《送菜进城》,郭颂
31,32,歌曲,《勿忘我》,彭丽媛
32,33,歌曲,《最后一个梦》、《五十六个民族同唱一支歌》,蒋大为
33,34,谜语,“春节三日不离厂”（打一字）、“慢等除夕钟声来”（猜一人名）,
34,35,小品,《羊肉串》,陈佩斯、朱时茂
35,36,相声,《唱歌的姿势》,姜昆、唐杰忠
36,37,,零点钟声,
37,38,,明年除夕再见,
,序号,类型,节目名,表演者
0,1,开场歌舞,①《祝岁歌》②腰鼓演出③舞蹈演出,叶矛、廖莎延安地区群众艺术馆空军蓝天幼儿艺术团
1,2,相声,《巧对影联》,刘伟、冯巩
2,3,戏曲小品,《孙二娘开店》,游本昌、董元元、张寄蝶、孙绍东、朱世慧、莫元季、刘丰
3,4,歌曲,《小小的我》,苏红
4,5,西藏民歌,《酒歌》,胡松华
5,6,动物小品,《家庭宴会》（录像）,王明玉、李扬（配音）
6,7,小品,《恩爱夫妻》,王馥荔、陈裕德
7,8,演奏,《除夕圆舞曲》,刘旭峰
8,9,歌曲,《送给你明天的太阳》、《我们见面又分手》,叶丽仪
9,10,相声,《学播音》,笑林、李国盛
10,11,歌曲,《我爱五指山，我爱万泉河》,李双江
11,12,歌曲,《血染的风采》,王虹、徐良
12,13,双簧京剧清唱,《汉宫惊魂》选段——《金钟响》,李光、葛存壮
13,14,相声,《虎口遐想》,姜昆、唐杰忠
14,15,,十佳运动员颁奖仪式,宋世雄（主持）
15,16,体育表演,《鞍马开花》,李宁等
16,17,小魔术,《变兔》,冯京
17,18,歌曲,《春天在哪里》,殷秀梅
18,19,相声小品,《拔牙》,赵连甲、王刚
19,20,录像,中学生服装表演,
20,21,小品,《产房门前》,郭达、杨蕾、高兰村、邹小茜
21,22,歌曲,《繁星从你眼前升起》,王静
22,23,歌曲,《你会爱上它》,彭丽媛
23,24,小串场,《音乐欣赏》,笑林、刘亚津
24,25,歌曲,《三峡人家》,蒋大为
25,26,相声,《打岔》,侯耀文、石富宽
26,27,,猜猜看,
27,28,录像,抻面表演,北京饭店王造柱等
28,29,歌曲,《我是春风我是爱》,郁钧剑
29,30,小串场,《卖鱼》,刘亚津
30,31,歌曲,《故乡的云》《冬天里的一把火》连唱,费翔
31,32,歌曲,《日月与星辰》,董文华
32,33,相声,《五官争功》,马季、赵炎、王金宝、冯巩、刘伟
33,34,民族团结大联唱,,左纯、苏红、格桑曲珍（藏族）、克里木（维族）、赵琼霞（纳西族）、 赵玉衡（朝鲜族）、拉苏荣、金花（蒙古族）、马太萱（回族）、杜萍、张也、侯耀文（满族）、张德富、卢秀梅、安冬、曲比阿乌（彝族）
34,35,歌曲,《春天的钟》,胡晓晴
35,36,,零点钟声,
36,37,,尾声,
,序号,类型,节目名,表演者
0,1,序幕,北京中央电视台彩色电视中心,春节联欢晚会主会场
1,2,联唱,《拜大年》,聂建华、孙立荣、魏金柱、梦歌、马兰、佟艳杰、张德富、刘慧琴、吉千、曹秀琴、吴国华、谢琳、张克鹏、顾谦、何英、红英、黄柯娣、方雪雯、周美娇等
2,3,评书,《评书贯口》,刘兰芳
3,4,小品,《急诊》,游本昌、赵丽蓉、王丽云、薛培培
4,5,幽默杂技,《新春乐》,董峥臻、曲瞬绪、王解放、覃鸿植、王友民、乔海滨、韩志民、肖永福、王小兵（大连杂技团）
5,6,男声独唱,《我们的祖国歌甜花香》,阎维文
6,7,男声合唱,《男孩》,柳培德、李勇等
7,8,相声,《求全责备》,刘伟、冯巩、牛振华、李艺、戴志诚、郑健、赵保乐
8,9,动画片,《孙悟空与唐老鸭》,李扬
9,10,女声独唱,《故乡情》,蒋丽萍
10,11,京剧,《单雄信》,方荣翔
11,12,拧擂拉戏,《包龙图打坐在开封府》[注 1],王开春
12,13,女声独唱,《思念到永远》[注 2],程琳
13,14,舞蹈,《看秧歌》,山西省歌舞剧院
14,15,评书,《人物速写》,王刚、田连元、袁阔成
15,16,男声独唱,《中国龙》,李双江
16,17,女声独唱,《思念》,毛阿敏
17,18,男声独唱,《雨中即景》,邓志乐
18,19,相声联说,《对话趣谈》,常宝华、常圆、单联丽、王荃、李博成、李博良、卡尔罗、李立山
19,20,插播广东电视台节目（广东分会场）,插播广东电视台节目（广东分会场）,插播广东电视台节目（广东分会场）
20,20,歌曲,《娱乐升平颂羊城》,唐彪、安李
21,20,现场互动,,容志行、曾雪麟（广州分会场）、宋世雄（北京主会场）、中国国家足球队球员
22,20,舞火龙表演,《火龙表演》,梅县地区丰顺火龙队
23,21,小品,《黄牌与金牌》,朱时茂、刘全和、刘全利
24,22,对唱,《想亲亲》,卢秀梅、牛宝林
25,23,小品,《清官难断家务事》,牛得草、朱世慧、郭达、杨蕾、石富宽、崔喜跃
26,24,音乐猜,《影视歌曲联奏》,中央芭蕾舞团乐队指挥：胡炳旭钢琴：郭峰
27,25,合唱,《分手时再敬一个军礼》,总政离休干部艺术团 领唱：寇家伦 指挥：孟贵彬
28,26,歌曲,《热血颂》,张暴默、吕金鹤、郁钧剑、佟铁鑫、金曼、温亚丽
29,27,女声独唱,《道路》,董文华
30,28,相声,《攀比》,笑林、李国盛
31,29,插播黑龙江电视台节目（黑龙江分会场）,插播黑龙江电视台节目（黑龙江分会场）,插播黑龙江电视台节目（黑龙江分会场）
32,29,拉场戏,《驱邪》(此节目被取消，没有在央视直播中出现),赵本山、李静、李海
33,29,现场互动,冰上集体婚礼,
34,29,歌曲,《好凉快》,黄勇、马李华、孙武佳、张志刚
35,30,歌剧小品,《狗娃与黑妞》,陈佩斯、小香玉
36,31,气功表演,《轻功表演》,张加陵
37,32,男声独唱,《娜鲁湾情歌》,万沙浪
38,33,对唱,《相聚在龙年》,万沙浪、韦唯
39,34,相声,《电梯奇遇》,姜昆、唐杰忠
40,35,女声独唱,《我们是黄河泰山》,彭丽媛
41,36,男声独唱,《快乐的马车夫》,帕尔哈提
42,37,独角戏,《踢足球》,石国庆[注 3]
43,38,女声独唱,《三百六十五里路》,包娜娜
44,39,小品,《接妻》,沈伐、岳红
45,40,男声独唱,《游子心》,叶振棠
46,41,,小魔术,姚金芬、秦鸣晓
47,42,舞蹈,民族大联舞——节日之夜,姜昌善（朝鲜族）、李忠梅、郎晓兰、赵青、高娃、齐木格（蒙古族）、丁洁、官明军、沈培艺、李恒达、杨丽萍
48,43,,零点钟声,
49,44,,全国政协主席邓颖超春节祝辞、留美学生联欢会录像剪辑,李红深等
50,45,歌曲,《龙的传人》,侯德健
51,46,小品,《门铃声声》,李文启、熊小田
52,47,插播四川电视台节目（四川分会场）,插播四川电视台节目（四川分会场）,插播四川电视台节目（四川分会场）
53,47,歌曲,《四川小吃人人爱》,练正华、李丹阳
54,47,歌舞,《迎春的哈达》,德喜美多
55,47,杂技,《蹬技》,重庆市杂技团
56,48,相声,《巧立名目》,牛群、李立山
57,49,,《西游记》演员表演节目,
58,50,结束曲/片尾曲,《我们是朋友》（最后一曲）,全体演员、观众
,序号,类型,节目名,表演者
0,1,歌曲,《'89春节序曲》,中国广播交响乐团、中国青年交响乐团、中央民族乐团、海政歌舞团电声乐队联合演奏
1,2,相声,《送春联》,李金斗、陈涌泉
2,3,歌曲,《采槟榔》,张也
3,4,歌曲,《幸福歌》,梦鸽
4,5,花鼓戏,《补锅》,邢险峰、苏小路
5,6,小品,《英雄母亲的一天》,赵丽蓉、侯耀文
6,7,气功表演,《喷水断砖》、《缩身进笼》,张加陵、黄幼
7,8,歌曲,《山情》,杭天琪
8,9,综合节目,《儿童集体速算》,吉林省辽源市第二实验小学
9,10,歌曲,《好小子》,程琳
10,11,杂技,《少儿杂技集锦》,（年龄5-15岁）
11,12,京剧,《铡美案》,阎锐、高艳平
12,13,歌曲,《圆圆的世界》,胡月
13,14,小品,《招聘》,笑林、师胜杰、黄宏、方青卓
14,15,黄梅曲、越剧对唱,《十八相送》,吴琼、何英
15,16,歌曲,《是你给我爱》,安冬
16,17,歌曲,《爱的奉献》,韦唯
17,18,战士拉歌,,陆、海、空、武警部队官兵
18,19,歌曲,《英雄的赞歌》,鞠敬伟
19,20,相声,《送别》,刘伟、马季
20,21,舞蹈,《舞之魂》、《版纳三色》、《孔雀》,杨丽萍
21,22,双簧,,莫岐、王凤朝
22,23,现代歌舞,《跳起来》,陶金、北京舞蹈学院当代舞蹈团、空政歌舞团、银河少年艺术团、潘家园老年迪斯科队等
23,24,综合节目,《五花八门》,
24,25,歌曲,《指南针》,蔡虹红
25,26,谜语擂台赛,,
26,27,歌曲,《明月千里寄相思》、《心恋》,徐小凤
27,28,谜语擂台赛,,
28,29,相声,《生日祝辞》,冯巩、牛群
29,30,京剧,《苏三起解》,桑样（南斯拉夫）
30,31,歌曲,《故园之恋》,陈汝佳
31,32,歌曲,《春满京城》,王哲、刘玉婉
32,33,小品,《懒汉相亲》,雷恪生、赵连甲、宋丹丹
33,34,京剧,《锁麟囊》选段——《春秋亭》,迟小秋
34,35,歌曲,《跟着感觉走》、《外婆的澎湖湾》、《太阳与月亮》,潘安邦
35,36,歌曲,《外国影视歌曲联唱》,李静娴、马太萱、牟玄甫、刘艺、许丽娟、陈红、韦唯
36,37,,电影打岔,李扬、刘江、周贵元等
37,38,歌曲,《歌声与微笑》,银河少年电视艺术团
38,39,歌曲,《你、我、他》,关牧村
39,40,小品,《胡椒面》,陈佩斯、朱时茂
40,41,歌曲,《刮春风》,彭丽媛
41,42,相声,《捕风捉影》,姜昆、唐杰忠
42,43,歌曲,《我的祖国》,郭兰英
43,44,,零点钟声,
44,45,歌曲,《今宵多美好》,叶矛、廖莎、路浩、曲比阿乌、彭书民、杨二车娜姆
45,46,综合节目,《活字典》,杨术
46,47,相声,《太挤了》,笑林、李国盛
47,48,民族舞蹈,《中国风》,中央民族学院音乐舞蹈系
48,49,结束曲/片尾曲,《走向未来》（最后一曲）,魏洪、张涓、黄应杰、林芳
,序号,类型,节目名,表演者
0,1,歌曲,播放前7年春节联欢晚会片头、《万紫千红》,杭天琪、屠洪刚
1,2,,主持人介绍擂台赛队长和裁判,
2,规定动作,规定动作,规定动作,规定动作
3,3,大联唱,《马字令》,杨学进、彭书民、张暴默、刘伟、唐杰忠、刘秉义、刘斌、马玉涛、胡松华、苏红、罗宁娜、陈佩斯、牛群、赵莉、姜昆
4,4,第一组独唱歌曲,①《闹新春》②《1234567》,李丹阳韦唯
5,5,相声,《学唱歌》,姜昆、唐杰忠
6,6,提线木偶,《小猴唱歌》,黄奕缺、李扬
7,7,,三个队献对联,蓝队：阚丽君、远征黄队：冯巩、巩汉林红队：刘伟、牛群
8,8,,《精彩一分钟》,田连元、冯巩
9,9,舞蹈小品,《背起那小妹妹》,贾小平、纪广（山西省歌舞剧院）
10,10,歌曲,《自己的天空》、《我是风》,文章
11,自选动作,自选动作,自选动作,自选动作
12,11,相声,《无所适从》,牛群、冯巩
13,12,第二组独唱歌曲,①《大雁的故乡》 ②《牧野情歌》 ③《边塞风》,乌云塔娜李玲玉范琳琳
14,13,小品,《相亲》,赵本山、黄晓娟
15,14,舞蹈,《京剧迪斯科》,银河少年电视艺术团
16,15,歌曲,《献出心中诚与爱》、《我们爱这个错》,张明敏
17,16,相声,《三顾茅庐》,刘伟、刘惠
18,17,第三组独唱歌曲,①《好大一棵树》②《小背篓》③《走在大街上》,张晓梅宋祖英鞠敬伟
19,18,戏曲小品,拷红,郑岩、小香玉、李玲玉、雷英、吴琼
20,19,小品,《打麻将》,岳红、巩汉林
21,20,舞蹈,《瞧这些婆姨们》,山西省歌舞剧院
22,21,相声,《二重唱》,戴志诚、郑健
23,22,第四组独唱歌曲,①《望春》②《边关情似火》③《黑头发飘起来》,苏红、杭宏杨洪基杭天琪
24,23,小品,《难兄难弟》,严顺开、黄宏
25,24,,画家赠画,刘勃舒、王成喜、姚治华、石愚、吴东魁
26,挑战动作,挑战动作,挑战动作,挑战动作
27,25,艺术体操,《健美变奏曲》,北京体育学院
28,26,哑剧小品,《举重》,王景愚
29,27,第五组独唱歌曲,①《当我们年轻的时候》②《西北汉子的红腰带》,翟春萍张伟进
30,28,歌曲,《小丑》,凌峰
31,29,小品,《主角与配角》,陈佩斯、朱时茂
32,30,第六组独唱歌曲,①《幸福是什么》 ②《前门情思——大碗茶》,崔海堂李谷一
33,31,京剧清唱,《定军山》,谭元寿
34,32,,零点钟声,
35,33,,江泽民、李鹏现场讲话,
36,34,歌曲,《送给你》,魏金栋、刘玉婉
37,35,歌曲,《山丹丹花开红艳艳》,远征
38,36,,裁判宣布评语,
39,37,结束曲/片尾曲,《难忘今宵》（最后一曲）,李谷一
,序号,类型,节目名,表演者
0,1,开场歌舞,《欢庆大歌舞》①《百子闹春》②《安徽花鼓灯》③《吴川飘色》④《三星贺喜》,中国人民解放军空军蓝天幼儿艺术团中央歌舞团广东省吴川县表演队北京戏曲学校、李长春、尚长荣、李嘉林
